molecule_chembl_id,canonical_smiles,pIC50
CHEMBL1332454,CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,5.240861183718834
CHEMBL1988416,O=Cc1s/c(=N\S(=O)(=O)c2ccccc2)n(CCCCl)c1Cl,4.709119894732838
CHEMBL1417212,COc1ccccc1N1N=C(c2cccs2)CC1c1ccccc1,5.441771578196675
CHEMBL1991303,C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1cc2ccccc2o1,5.52360317327467
CHEMBL1301371,Cc1cccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)c1,5.258848401148215
CHEMBL1704261,CCCC(=O)NC1=C(Cl)C(=O)c2ccccc2C1=O,5.16889843549864
CHEMBL1993431,COc1cc(/C=C/c2ccc3c(Br)cc(Br)c(O)c3n2)ccc1O,5.114638779968488
CHEMBL1308255,O=C(/C=C/c1cn(CC(O)CN2CCCCCC2)c2ccccc12)c1cccs1,5.0785216196243095
CHEMBL1476225,Fc1ccc(-[n+]2nc(Nc3ccccc3)sc2-c2c3ccccc3cc3ccccc23)cc1.[Cl-],5.2444300193712
CHEMBL1723955,O=C1C(Cl)=C(NCCc2ccccc2)C(=O)c2ccccc21,4.75119329587128
CHEMBL1704703,O=C1C=CC2(C=C1)O[C@H](Cc1ccccc1)[C@@H](Cc1ccccc1)O2,4.662480840153025
CHEMBL3195010,COc1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2)cc1O,4.968874424268434
CHEMBL1583998,O=C1N=C(NS(=O)(=O)Cc2ccccc2)S/C1=C/c1cc([N+](=O)[O-])ccc1O,5.359617955290432
CHEMBL1534986,Cc1ccc(C(=O)O)cc1N1C(=O)c2cccc3c([N+](=O)[O-])ccc(c23)C1=O,5.130181792020672
CHEMBL432044,O=C1Cc2ccccc2C(=O)N1c1ccccc1,5.401428336517859
CHEMBL1538643,CCCCN(C)CC(O)Cn1cc(/C=C/C(=O)c2cccs2)c2ccccc21,5.115317895793975
CHEMBL1460029,O=c1oc2ccccc2c(Cl)c1CN1CCCCC1,5.220115036807356
CHEMBL1308404,O=[N+]([O-])c1c(Nc2ccc(O)cc2)cc(Cl)c2nonc12,5.195519810894007
CHEMBL1518077,CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)cc1,5.025672564576383
CHEMBL1526855,CC(=O)N(C1=C(Cl)C(=O)c2ccccc2C1=O)C1CCCCC1,5.275642195773574
CHEMBL1301731,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,5.32166375326782
CHEMBL1301723,N#CC(C#N)=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccccc1,4.799477808197887
CHEMBL1557820,Clc1ccc(-n2nnnc2Sc2ncnc3sccc23)cc1,8.366198959901956
CHEMBL1607132,CCC(=O)c1ccc(/C=C/c2nc3ccccc3n2C)o1,5.2914091548496565
CHEMBL1705527,COc1cc2oc3cc(C#Cc4ccc(N)cc4)ccc3c(=O)c2cc1OC,5.443938840990468
