,molecule_chembl_id,canonical_smiles,standard_value
42,CHEMBL1387110,Nc1c(C(=O)Nc2nc3ccccc3s2)sc2nc(-c3cccs3)ccc12,3934.0
43,CHEMBL1337235,CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(N3CCOCC3)cc2)n1,10235.0
44,CHEMBL1701517,O=S(=O)(/C=C/C=C/S(=O)(=O)c1ccccc1)c1ccccc1,49760.0
45,CHEMBL1498308,CCN(CC)c1ccc(-c2nc3cnccn3c2NC2CCCC2)cc1,5289.0
46,CHEMBL1890919,COc1ccc(OC)c(C=Cc2ccc([N+](=O)[O-])cc2)c1,8192.0
47,CHEMBL1527994,CCN(CC)c1ccc(/C=C/C(=O)c2ccc(Br)cc2)cc1,3823.0
48,CHEMBL1319867,O=[N+]([O-])c1c(Nc2ccccc2O)cc(Cl)c2nonc12,18414.0
49,CHEMBL1436864,O=C(NCc1cccc(F)c1)c1cccc2c1C(=O)c1ccc(N3CCC(Cc4ccccc4)CC3)cc1S2(=O)=O,3211.0
50,CHEMBL1526126,O=[N+]([O-])c1ccc(C2=NN(c3ccccc3)C(c3ccco3)C2)cc1,2639.0
51,CHEMBL1315948,CCc1ccc(Nc2n[n+](-c3ccccc3)c(-c3c(Cl)cccc3Cl)s2)cc1.[Cl-],3124.0
52,CHEMBL1984584,O=[N+]([O-])c1ccc(N/N=C/c2c[nH]c3ccccc23)cc1,10230.0
53,CHEMBL1534390,O=[N+]([O-])c1ccc(N2N=C(c3ccccc3)CC2c2ccccc2O)cc1,4583.0
54,CHEMBL1404578,COc1ccc(OC)c(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)c1,6715.0
55,CHEMBL1359902,COc1ccc(C(=O)/C=C/C(=O)N(CC(=O)NC2CCCCC2)CC2CCCO2)c(O)c1,23288.0
56,CHEMBL1420325,CS(=O)(=O)c1sc(C#N)c2c1C(=O)CC(c1ccccc1)C2,7079.0
57,CHEMBL3197908,COc1ccc2nc(C)cc(N/N=C/c3ccc(F)cc3)c2c1,2129.0
